KPM ind_msg latency,UE ID type,gNB,amf_ue_ngap_id,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
1742084358951883,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084359952367,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084360951427,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084361951149,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084362950452,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084363951495,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084364951421,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084365951741,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084366951274,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084367950946,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084368950798,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084369951845,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084370950897,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084371952294,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084372952011,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084373951558,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084374951181,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084375952122,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084376951159,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084377952062,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084378950771,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084379950735,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084380950881,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084381952228,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084382951431,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084383951528,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084384953360,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084385953161,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084386952608,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084387952278,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084388952415,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084389952461,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084390951245,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084391950918,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084392949993,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084393951242,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084394951222,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084395952114,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084396952180,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084397951919,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084398952044,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084399951612,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084400951081,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084401951939,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084402951019,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084403951172,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084404951866,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084405951315,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084406951527,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084407951051,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084408952308,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084409952283,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084410950995,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084411952084,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084412951322,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084413951784,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084414951345,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084415950733,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084416951185,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084417950083,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084418951530,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084419951739,0,20,1,0,0,0.000000,0.000000,0.000000,60,55,1
1742084420950805,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084421951316,0,20,1,0,0,0.000000,0.000000,0.000000,60,55,1
1742084422951182,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084423950502,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084424952166,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084425952591,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084426952328,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084427951366,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084428952571,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084429952067,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084430950785,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084431950954,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084432950972,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084433951299,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084434951092,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084435950713,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084436953190,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084437953082,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084438952536,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084439952294,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084440952064,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084441950709,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084442951045,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084443952685,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084444951863,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084445951319,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084446951881,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084447950728,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084448951450,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084449951793,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084450952131,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084451950622,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084452951205,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084453951509,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084454950767,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084455951402,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084456951967,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084457951974,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084458951097,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084459951866,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084460951425,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084461951268,0,20,1,0,0,0.000000,0.000000,0.000000,60,55,1
1742084462951725,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084463952368,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084464952192,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084465950270,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084466952726,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084467951410,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084468951220,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084469951044,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084470951239,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084471950957,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084472951680,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084473952051,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084474951561,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084475951481,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084476951434,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084477950485,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084478950238,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084479952291,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084480952893,0,20,1,0,0,0.000000,0.000000,0.000000,70,70,1
1742084481951760,0,20,1,0,0,0.000000,0.000000,0.000000,90,95,1
1742084482951454,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084483950680,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084484951887,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084485951546,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084486952702,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084487952595,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084488950317,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084489951225,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084490952161,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084491952765,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084492951344,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084493952326,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084494951867,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084495950734,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084496951090,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084497951272,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084498951006,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084499951653,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084500952838,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084501950101,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084502952145,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084503951210,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084504951671,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084505951591,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084506951480,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084507951183,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084508951358,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084509951471,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084510952526,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084511951900,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084512950063,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084513951092,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084514951318,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084515951059,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084516951398,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084517951094,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084518952266,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084519951827,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084520951720,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084521950794,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084522952044,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084523950731,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084524951979,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084525950189,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084526950090,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084527949606,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084528951746,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084529951595,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084530951073,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084531951533,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084532952486,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084533951080,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084534951847,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084535950804,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084536950841,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084537950931,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084538952065,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084539951525,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084540951644,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084541951534,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084542951615,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084543950414,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084544951380,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084545951453,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084546950255,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084547951232,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084548951515,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084549952135,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084550950171,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084551951007,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084552950997,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084553951081,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084554951508,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084555951352,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084556951350,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084557950369,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084558951931,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084559950959,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084560950776,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084561951219,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084562951864,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084563951970,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084564952635,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084565950303,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084566952244,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084567950994,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084568951399,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084569951162,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084570951251,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084571951102,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084572952239,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084573951076,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084574951626,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084575951800,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084576950196,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084577951321,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084578951686,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084579952078,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084580949960,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084581950645,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084582951442,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084583952044,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084584951801,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084585951271,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084586951581,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084587950312,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084588950417,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084589949996,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084590949355,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084591950384,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084592950861,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084593951467,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084594951233,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084595950417,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084596950548,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084597951494,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084598950605,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084599950836,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084600951363,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084601950815,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084602953189,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084603952627,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084604950040,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084605950402,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084606951276,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084607951261,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084608951092,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084609952156,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084610951157,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084611950245,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084612950765,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084613950195,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084614950517,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084615951193,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084616951957,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084617950232,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084618951030,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084619950157,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084620950589,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084621950374,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084622952101,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084623950948,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084624950597,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084625950154,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084626951190,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084627950543,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084628951028,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084629951264,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084630950632,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084631951097,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084632951110,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084633951560,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084634951079,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084635951252,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084636950321,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084637950363,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084638950589,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084639951059,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084640951990,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084641950798,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084642951184,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084643951542,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084644951588,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084645951723,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084646950419,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084647951380,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084648950854,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084649950009,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084650951126,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084651951294,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084652950788,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084653950209,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084654949615,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084655951279,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084656950880,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084657949940,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084658950875,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084659950595,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084660952065,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084661951477,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084662950999,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084663950383,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084664951351,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084665950042,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084666951467,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084667951091,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084668951337,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084669950106,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084670951697,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084671951658,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084672951934,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084673951138,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084674951482,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084675950076,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084676951646,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084677952611,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084678951156,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084679950028,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084680951318,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084681951840,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084682953012,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084683951467,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084684951708,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084685950054,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084686949798,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084687949924,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084688950753,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084689950592,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084690951039,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
