KPM ind_msg latency,UE ID type,gNB,amf_ue_ngap_id,ran_ue_id,DRB.PdcpSduVolumeDL,DRB.PdcpSduVolumeUL,DRB.RlcSduDelayDl,DRB.UEThpDl,DRB.UEThpUl,RRU.PrbTotDl,RRU.PrbTotUl
1742084331951631,0,20,1,0,0,0.000000,0.000000,0.000000,265,265,1
1742084332952235,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084333953047,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084334950505,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084335951900,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084336950649,0,20,1,0,0,0.000000,0.000000,0.000000,65,60,1
1742084337950694,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084338951346,0,20,1,1,1,740.000000,1.512000,2.056000,76,135,1
1742084339956400,0,20,1,15500,262,25578.679537,14761.696000,301.224000,52348,4338,1
1742084340955112,0,20,1,44230,797,45826.497992,42754.056000,899.872000,67548,6146,1
1742084341957441,0,20,1,48163,835,86238.445455,46303.176000,941.472000,62815,5957,1
1742084342954201,0,20,1,50576,774,151975.440639,48244.400000,874.016000,65465,5570,1
1742084343953946,0,20,1,51086,721,165601.583158,49026.496000,815.104000,66927,5204,1
1742084344953307,0,20,1,48778,712,252606.452116,46701.344000,804.232000,63190,5146,1
1742084345954363,0,20,1,50796,868,299373.433915,48068.528000,978.888000,65709,6185,1
1742084346955010,0,20,1,38582,941,362452.822430,48314.696000,1071.424000,65492,6877,1
1742084347952381,0,20,1,0,163,0.000000,5182.616000,188.608000,7155,1244,1
1742084348952051,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084349953825,0,20,1,0,0,0.000000,0.000000,0.000000,65,65,1
1742084350955312,0,20,1,0,0,0.000000,0.000000,0.000000,60,65,1
1742084351955735,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084352955190,0,20,1,0,0,0.000000,0.000000,0.000000,70,65,1
1742084353955500,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084354956255,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084355958256,0,20,1,0,0,0.000000,0.000000,0.000000,55,55,1
1742084356952335,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
1742084357952625,0,20,1,0,0,0.000000,0.000000,0.000000,60,60,1
